"COUNTRY_CODE","HEMISPHERE","ISO_WEEK","ISO_YEAR","flu_year","AH1N12009","AH1","AH3","AH5","AH7N9","BVIC_2DEL","BVIC_3DEL","BVIC_NODEL","BVIC_DELUNK","BYAM","vaccine_H1N1","vaccine_H3N2","vaccine_B_trivalent"
"LVA","NH",51,2015,"2015-2016",1,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"TTO","NH",8,2022,"2022-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"VNM","NH",10,2024,"2024-2025",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"FIN","NH",46,2020,"2020-2021",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"TZA","SH",50,2022,"2022",13,NA,5,0,0,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Perth/16/2009","B/Washington/02/2019"
"BLR","NH",40,2022,"2022-2023",0,NA,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"LBY","NH",38,2022,"2022-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"LVA","NH",41,2019,"2019-2020",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"QAT","NH",50,2021,"2021-2022",0,NA,8,0,0,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"TUN","NH",9,2020,"2020-2021",43,NA,3,NA,NA,NA,NA,NA,NA,NA,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"USA","NH",47,2000,"2000-2001",NA,30,1,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Beijing/184/93"
"GHA","NH",21,2010,"2010",14,0,1,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"GTM","NH",18,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"HUN","NH",10,2017,"2017-2018",2,0,2,NA,NA,NA,NA,0,NA,2,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"HUN","NH",17,2009,"2009-2010",0,0,0,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"POL","NH",18,2023,"2023-2024",0,NA,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"KEN","NH",47,2022,"2022",4,NA,0,0,0,NA,NA,1,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"ZMB","SH",26,2018,"2018-2019",0,NA,5,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Phuket/3073/2013"
"POL","NH",5,2014,"2014-2015",1,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"COG","SH",15,2013,"2013-2014",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"X11","NH",32,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"NLD","NH",32,2019,"2019-2020",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"PHL","NH",3,2012,"2012-2013",1,0,5,0,NA,NA,NA,3,NA,5,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"LTU","NH",9,2018,"2018-2019",1,0,4,NA,NA,NA,NA,1,NA,16,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"ISL","NH",48,2019,"2019-2020",2,0,0,NA,NA,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"MYS","NH",9,2013,"2013-2014",0,0,1,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"TUN","NH",50,2023,"2023-2024",3,NA,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"FRA","NH",17,2023,"2023-2024",1,NA,0,NA,NA,NA,NA,1,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"NOR","NH",3,2019,"2019-2020",7,0,2,NA,NA,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"POL","NH",14,2017,"2017-2018",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"URY","SH",22,2012,"2012-2013",0,0,0,NA,NA,NA,NA,NA,NA,NA,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"ZAF","SH",1,2017,"2017-2018",0,0,2,0,0,NA,NA,1,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"BOL","SH",16,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"DOM","NH",38,2018,"2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"GRC","NH",2,1999,"1999-2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL","NH",42,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"VNM","NH",37,2015,"2015-2016",0,0,14,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"NOR","NH",50,2013,"2013-2014",1,0,3,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"TJK","NH",2,2019,"2019-2020",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"X09","NH",40,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"BFA","NH",48,2017,"2017-2018",1,NA,0,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"BHR","NH",23,2014,"2014-2015",2,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"ROU","NH",43,2013,"2013-2014",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"LVA","NH",1,2016,"2016-2017",1,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"NLD","NH",15,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,4,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"PRT","NH",50,2022,"2022-2023",1,NA,18,NA,NA,NA,NA,1,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"BGR","NH",26,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"DEU","NH",36,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"JOR","NH",46,2014,"2014-2015",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"LVA","NH",8,2024,"2024-2025",6,NA,2,0,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"NIC","NH",13,2021,"2021-2022",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"EGY","NH",4,2018,"2018-2019",22,NA,11,0,0,NA,NA,NA,NA,NA,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"FRA","NH",50,2016,"2016-2017",1,0,96,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"MDA","NH",47,2011,"2011-2012",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"SVN","NH",8,2024,"2024-2025",2,NA,7,0,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"ZMB","SH",20,2018,"2018-2019",3,NA,0,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Phuket/3073/2013"
"PNG","SH",14,2016,"2016-2017",4,0,0,0,0,NA,NA,0,NA,1,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"SEN","NH",14,2000,"2000",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Beijing/184/93"
"BLZ","NH",4,2023,"2023-2024",0,0,0,NA,NA,0,0,1,1,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"SVN","NH",8,2011,"2011-2012",16,0,0,NA,NA,NA,NA,21,NA,1,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"LKA","NH",25,2019,"2019",7,NA,12,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"IRQ","NH",34,2018,"2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"SEN","NH",3,2015,"2015",1,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"USA","NH",17,2022,"2022-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"BEL","NH",34,2008,"2008-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Florida/4/2006"
"DEU","NH",21,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"PHL","NH",12,2018,"2018-2019",0,0,0,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"PRT","NH",50,2001,"2001-2002",NA,1,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Sichuan/379/99"
"SVN","NH",1,2004,"2004-2005",NA,0,1,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Fujian/411/2002","B/Shanghai/361/2002"
"BGD","NH",4,2018,"2018",0,NA,0,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"GLP","NH",20,2015,"2015-2016",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"HND","NH",18,2018,"2018-2019",18,0,0,NA,NA,NA,NA,4,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"LTU","NH",40,2012,"2012-2013",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"TJK","NH",42,2020,"2020-2021",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"GIN","NH",43,2021,"2021-2022",0,0,0,0,NA,NA,NA,2,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"VEN","NH",22,2022,"2022-2023",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"ALB","NH",51,2022,"2022-2023",0,NA,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"IDN","SH",38,2015,"2015",10,0,8,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"JAM","NH",8,2021,"2021-2022",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"MRT","NH",27,2018,"2018-2019",0,0,0,0,NA,NA,NA,NA,NA,NA,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"SLE","NH",32,2018,"2018-2019",0,NA,0,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"URY","SH",34,2023,"2023-2024",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"X09","NH",49,1998,"1998-1999",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ","NH",14,2023,"2023-2024",0,0,0,NA,NA,0,0,1,1,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
