flu_season,country,subtype,domain,variable_name,denominator,estimate,lower_bound,upper_bound,units,notes,source_system,citation,url
2011–12,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,Increase in H1N1 proportion Jan–Mar; strong regional variation,CDC annual influenza activity summary / MMWR,"CDC. (2011). Influenza activity — United States, 2011–12 season and vaccine composition report.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6122a4.htm
2012–13,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,Late-season shift where Influenza B predominated,CDC annual influenza activity summary / MMWR,"CDC. (2012). Influenza activity — United States, 2012–13 season and vaccine composition report.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6223a5.htm
2013–14,United States,A(H1N1)pdm09,dominant_subtype_or_pattern,,,,,,,First pH1N1-dominant season since pandemic; severe illness in 50–64 yrs,CDC annual influenza activity summary / MMWR,"CDC. (2013). Influenza activity — United States, 2013–14 season and vaccine composition report.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6322a2.htm
2014–15,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,H3N2 drift variants widely circulated,CDC annual influenza activity summary / MMWR,"CDC. (2014). Influenza activity — United States, 2014–15 season and vaccine composition report.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6421a5.htm
2015–16,United States,A(H1N1)pdm09,dominant_subtype_or_pattern,,,,,,,"Season began with H3N2, transitioned to H1N1pdm09 dominance",CDC annual influenza activity summary / MMWR,"CDC. (2015). Influenza activity — United States, 2015–16 season and vaccine composition report.",https://www.cdc.gov/mmwr/volumes/65/wr/mm6522a3.htm
2016–17,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,Late-season increase in Influenza B,CDC annual influenza activity summary / MMWR,"CDC. (2016). Influenza activity — United States, 2016–17 season and vaccine composition report.",https://www.cdc.gov/mmwr/volumes/66/wr/mm6625a3.htm
2017–18,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,Late-season switch to Influenza B,CDC annual influenza activity summary / MMWR,"CDC. (2017). Influenza activity — United States, 2017–18 season and vaccine composition report.",https://www.cdc.gov/mmwr/volumes/67/wr/mm6722a4.htm
2018–19,United States,Two waves: A(H1N1)pdm09 then A(H3N2),dominant_subtype_or_pattern,,,,,,,Subtype transition mid-season,CDC annual influenza activity summary / MMWR,"CDC. (2018). Influenza activity — United States, 2018–19 season and vaccine composition report.",https://www.cdc.gov/mmwr/volumes/68/wr/mm6824a3.htm
2019–20,United States,A(H1N1)pdm09 and B/Victoria early,dominant_subtype_or_pattern,,,,,,,Two-wave season: B/Victoria then H1N1pdm09,CDC annual influenza activity summary / MMWR,"CDC. (2019). Influenza activity — United States, 2019–20 season and vaccine composition report.",https://www.cdc.gov/mmwr/volumes/68/wr/mm6840a3.htm
2020–21,United States,None (extremely low circulation),dominant_subtype_or_pattern,,,,,,,Circulation suppressed by COVID-19 measures,CDC annual influenza activity summary / MMWR,"CDC. (2020). Influenza activity — United States, 2020–21 season and vaccine composition report.",https://archive.cdc.gov/#/details?url=https://www.cdc.gov/flu/season/2020-2021.html
2021–22,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,"Two waves, both H3N2-dominant",CDC annual influenza activity summary / MMWR,"CDC. (2021). Influenza activity — United States, 2021–22 season and vaccine composition report.",https://www.cdc.gov/mmwr/volumes/71/wr/mm7129a1.htm
2022–23,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,Single major H3N2 wave,CDC annual influenza activity summary / MMWR,"CDC. (2022). Influenza activity — United States, 2022–23 season and vaccine composition report.",https://www.cdc.gov/flu/whats-new/22-23-summary-technical-report.html
2023–24,United States,A(H1N1)pdm09,dominant_subtype_or_pattern,,,,,,,No B/Yamagata detected,CDC annual influenza activity summary / MMWR,"CDC. (2023). Influenza activity — United States, 2023–24 season and vaccine composition report.",https://www.cdc.gov/flu/whats-new/flu-summary-2023-2024.html
2024–25,United States,A(H1N1)pdm09 and A(H3N2) equally,dominant_subtype_or_pattern,,,,,,,Co-circulation of A subtypes,CDC annual influenza activity summary / MMWR,"CDC. (2024). Influenza activity — United States, 2024–25 season and vaccine composition report.",https://www.cdc.gov/flu/whats-new/2025-2026-influenza-activity.html
2010–11 to 2024–25,United States,All influenza,symptoms,annual_illness_burden_range,Season,,9.4,51,million illnesses,Seasonal burden estimates are modeled because not all persons seek care or receive influenza testing.,CDC flu burden model,CDC. (2026). Estimated U.S. flu disease burden. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-burden/php/data-vis/index.html
2010–11 to 2015–16,United States,All influenza,symptoms,symptomatic_influenza_incidence,Population per season,8.3,3,11.3,percent,Median and range of model-estimated seasonal symptomatic influenza incidence in the U.S. across studied seasons.,Peer-reviewed burden/incidence model,"Tokars, J. I., Rolfes, M. A., Foppa, I. M., et al. (2018). Seasonal incidence of symptomatic influenza in the United States. Clinical Infectious Diseases, 66(10), 1511–1518.",https://pubmed.ncbi.nlm.nih.gov/29206909/
2014–15 to 2022–23,United States,All influenza,symptoms,respiratory_symptom_fraction,Hospitalized patients,88,,,percent,Overall fraction with at least one acute respiratory sign/symptom at admission.,FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2014–15 to 2022–23,United States,All influenza,symptoms,non_respiratory_symptom_fraction,Hospitalized patients,68,,,percent,"Overall fraction with fever/chills, altered mental status, or seizures at admission.",FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11 to 2024–25,United States,All influenza,severity,annual_hospitalization_burden_range,Season,,120000,710000,flu hospitalizations,CDC estimated range of annual flu hospitalizations in the U.S. from 2010–2025.,CDC flu burden model,CDC. (2026). Estimated U.S. flu disease burden. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-burden/php/data-vis/index.html
2010–11 to 2022–23,United States,All influenza,severity,lab_confirmed_hospitalization_rate_range,Population,,8.7,102.9,"per 100,000 population","2020–21 overall rate was 0.8 per 100,000 due to very low circulation.",FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11,United States,All influenza (0–4 years),severity,lab_confirmed_hospitalization_rate,Population,43.8,,,"per 100,000 population",Cumulative FluSurv-NET laboratory-confirmed influenza-associated hospitalization rate for ages 0–4 years.,FluSurv-NET,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,All influenza (5–17 years),severity,lab_confirmed_hospitalization_rate,Population,8.5,,,"per 100,000 population",Cumulative FluSurv-NET laboratory-confirmed influenza-associated hospitalization rate for ages 5–17 years.,FluSurv-NET,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,All influenza (18–49 years),severity,lab_confirmed_hospitalization_rate,Population,10.7,,,"per 100,000 population",Cumulative FluSurv-NET laboratory-confirmed influenza-associated hospitalization rate for ages 18–49 years.,FluSurv-NET,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,All influenza (50–64 years),severity,lab_confirmed_hospitalization_rate,Population,21.7,,,"per 100,000 population",Cumulative FluSurv-NET laboratory-confirmed influenza-associated hospitalization rate for ages 50–64 years.,FluSurv-NET,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,All influenza (≥65 years),severity,lab_confirmed_hospitalization_rate,Population,62.5,,,"per 100,000 population",Cumulative FluSurv-NET laboratory-confirmed influenza-associated hospitalization rate for ages ≥65 years.,FluSurv-NET,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11 to 2022–23,United States,All influenza,severity,ICU_admission_fraction_range,Hospitalized patients,,14.1,22.3,percent,Seasonal range of ICU admission among laboratory-confirmed influenza-associated hospitalizations.,FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11 to 2022–23,United States,All influenza,severity,invasive_mechanical_ventilation_fraction_range,Hospitalized patients,,4.9,11.1,percent,Seasonal range of invasive mechanical ventilation among laboratory-confirmed influenza-associated hospitalizations.,FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11 to 2022–23,United States,All influenza,severity,in_hospital_death_fraction_range,Hospitalized patients,,2.2,3.5,percent,Seasonal range of in-hospital death among laboratory-confirmed influenza-associated hospitalizations.,FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11 to 2022–23,United States,All influenza,severity,pneumonia_diagnosis_fraction_range,Hospitalized patients,,20,30.3,percent,Seasonal range of pneumonia diagnosis among laboratory-confirmed influenza-associated hospitalizations.,FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11 to 2024–25,United States,All influenza,severity,annual_death_burden_range,Season,,6300,52000,deaths,CDC estimated range of annual flu deaths in the U.S. from 2010–2025.,CDC flu burden model,CDC. (2026). Estimated U.S. flu disease burden. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-burden/php/data-vis/index.html
2010–11,United States,Pneumonia & influenza,severity,peak_percent_deaths_p_and_i,All deaths,8.9,,,percent,Peak percentage of deaths attributed to pneumonia and influenza in 122 Cities Mortality Reporting System.,122 Cities Mortality Reporting System,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,Influenza B-associated pediatric deaths,severity,pediatric_deaths_count,Pediatric influenza-associated deaths,40,,,count,Laboratory-confirmed influenza-associated pediatric deaths reported by associated virus/subtype.,Influenza-Associated Pediatric Mortality Surveillance System,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,A(H1N1)pdm09-associated pediatric deaths,severity,pediatric_deaths_count,Pediatric influenza-associated deaths,27,,,count,Laboratory-confirmed influenza-associated pediatric deaths reported by associated virus/subtype.,Influenza-Associated Pediatric Mortality Surveillance System,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,A(H3N2)-associated pediatric deaths,severity,pediatric_deaths_count,Pediatric influenza-associated deaths,18,,,count,Laboratory-confirmed influenza-associated pediatric deaths reported by associated virus/subtype.,Influenza-Associated Pediatric Mortality Surveillance System,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,Influenza A untyped-associated pediatric deaths,severity,pediatric_deaths_count,Pediatric influenza-associated deaths,20,,,count,Laboratory-confirmed influenza-associated pediatric deaths reported by associated virus/subtype.,Influenza-Associated Pediatric Mortality Surveillance System,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
